search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
cheese,48443,Bega Cheese Block Strong & Bitey Vintage,Bega,11.2,$22.40 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/048443.jpg,https://www.woolworths.com.au/shop/productdetails/48443
cheese,224942,Woolworths Light Tasty Cheese Slices,Woolworths,7.5,$15.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/224942.jpg,https://www.woolworths.com.au/shop/productdetails/224942
cheese,348705,Woolworths Swiss Cheese Slices,Woolworths,4.8,$24.00 / 1KG,200g,https://cdn0.woolworths.media/content/wowproductimages/small/348705.jpg,https://www.woolworths.com.au/shop/productdetails/348705
cheese,769525,Bega Cheese Slices Strong & Bitey Vintage,Bega,11.8,$23.60 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/769525.jpg,https://www.woolworths.com.au/shop/productdetails/769525
cheese,930997,Jarlsberg Original Cheese Slices Sliced Cheese,Jarlsberg,9,$60.00 / 1KG,150g,https://cdn0.woolworths.media/content/wowproductimages/small/930997.jpg,https://www.woolworths.com.au/shop/productdetails/930997
cheese,165838,Cheer Tasty Cheese Slices,Cheer,14.5,$19.33 / 1KG,48 pack,https://cdn0.woolworths.media/content/wowproductimages/small/165838.jpg,https://www.woolworths.com.au/shop/productdetails/165838
cheese,250729,Woolworths Tasty Cheese Block,Woolworths,4.9,$19.60 / 1KG,250g,https://cdn0.woolworths.media/content/wowproductimages/small/250729.jpg,https://www.woolworths.com.au/shop/productdetails/250729
cheese,32198,Mainland Tasty Cheese Block Cheese,Mainland,11.8,$23.60 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/032198.jpg,https://www.woolworths.com.au/shop/productdetails/32198
cheese,6040686,Hillview Light Cheese Slices,Hillview,3.8,$8.80 / 1KG,432g,https://cdn0.woolworths.media/content/wowproductimages/small/6040686.jpg,https://www.woolworths.com.au/shop/productdetails/6040686
cheese,166625,Cheer Tasty Cheese Block,Cheer,14.95,$14.95 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/166625.jpg,https://www.woolworths.com.au/shop/productdetails/166625
cheese,6044080,Woolworths Extra Tasty Cheese Block,Woolworths,10.5,$10.50 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/6044080.jpg,https://www.woolworths.com.au/shop/productdetails/6044080
cheese,807870,Mainland Extra Tasty Cheese Block,Mainland,11.8,$23.60 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/807870.jpg,https://www.woolworths.com.au/shop/productdetails/807870
