search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Beef,764567,Woolworths Beef Bolar Blade Roast,Woolworths,36,$18.00 / 1KG,900g - 2kg,https://cdn0.woolworths.media/content/wowproductimages/small/764567.jpg,https://www.woolworths.com.au/shop/productdetails/764567
Pork,675492,Woolworths Scotch Fillet Pork,Woolworths,10,$16.67 / 1KG,600g,https://cdn0.woolworths.media/content/wowproductimages/small/675492.jpg,https://www.woolworths.com.au/shop/productdetails/675492
Pork,675623,Woolworths Pork Loin Chop Medium,Woolworths,10.5,$17.50 / 1KG,200g - 600g,https://cdn0.woolworths.media/content/wowproductimages/small/675623.jpg,https://www.woolworths.com.au/shop/productdetails/675623
Pork,764541,Woolworths Pork Shoulder Roast Boneless Boneless Small,Woolworths,29.4,$10.50 / 1KG,1.3kg - 2.8kg,https://cdn0.woolworths.media/content/wowproductimages/small/764541.jpg,https://www.woolworths.com.au/shop/productdetails/764541
Pork,764527,Woolworths Pork Leg Roast Boneless Boneless Small,Woolworths,28.6,$11.00 / 1KG,1.2kg - 2.6kg,https://cdn0.woolworths.media/content/wowproductimages/small/764527.jpg,https://www.woolworths.com.au/shop/productdetails/764527
Pork,680992,Woolworths Pork Sizzle Steak,Woolworths,9,$22.50 / 1KG,400g,https://cdn0.woolworths.media/content/wowproductimages/small/680992.jpg,https://www.woolworths.com.au/shop/productdetails/680992
Pork,675671,Woolworths Pork Fillet Heart Smart,Woolworths,,,250g - 600g,https://cdn0.woolworths.media/content/wowproductimages/small/675671.jpg,https://www.woolworths.com.au/shop/productdetails/675671
Pork,764406,Woolworths Pork Loin Roast Boneless Small,Woolworths,26,$13.00 / 1KG,1.2kg - 2kg,https://cdn0.woolworths.media/content/wowproductimages/small/764406.jpg,https://www.woolworths.com.au/shop/productdetails/764406
Pork,675494,Woolworths Pork Medallion,Woolworths,8,$32.00 / 1KG,250g,https://cdn0.woolworths.media/content/wowproductimages/small/675494.jpg,https://www.woolworths.com.au/shop/productdetails/675494
Pork,829116,Woolworths Loin Steaks Pork,Woolworths,10,$20.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/829116.jpg,https://www.woolworths.com.au/shop/productdetails/829116
Pork,675687,Woolworths Pork Rashers,Woolworths,20,$25.00 / 1KG,350g - 800g,https://cdn0.woolworths.media/content/wowproductimages/small/675687.jpg,https://www.woolworths.com.au/shop/productdetails/675687
Avocado,120080,Hass Avocado,,2.3,$2.30 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/120080.jpg,https://www.woolworths.com.au/shop/productdetails/120080
Avocado,594774,Avocado Fresh,Avocado,6.9,$1.38 / 1EA,5 pack,https://cdn0.woolworths.media/content/wowproductimages/small/594774.jpg,https://www.woolworths.com.au/shop/productdetails/594774
Avocado,775369,The Odd Bunch Avocado Prepacked,The Odd Bunch,6.9,$6.90 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/775369.jpg,https://www.woolworths.com.au/shop/productdetails/775369
Avocado,364554,Avofresh Avocado Hint Of Lemon Tube Hint Of Lemon,Avofresh,6.2,$3.88 / 100G,160g,https://cdn0.woolworths.media/content/wowproductimages/small/364554.jpg,https://www.woolworths.com.au/shop/productdetails/364554
Avocado,820738,Avofresh Smashed Avocado,Avofresh,6.2,$3.88 / 100G,160g,https://cdn0.woolworths.media/content/wowproductimages/small/820738.jpg,https://www.woolworths.com.au/shop/productdetails/820738
Avocado,792361,Macro Organic Avocado,Macro,3.5,$3.50 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/792361.jpg,https://www.woolworths.com.au/shop/productdetails/792361
Avocado,243094,Avofresh Classic Avocado Guacamole,Avofresh,6.2,$3.88 / 100G,160g,https://cdn0.woolworths.media/content/wowproductimages/small/243094.jpg,https://www.woolworths.com.au/shop/productdetails/243094
Avocado,405658,Avofresh Avocado Lime & Black Pepper Tube,Avofresh,6.2,$3.88 / 100G,160g,https://cdn0.woolworths.media/content/wowproductimages/small/405658.jpg,https://www.woolworths.com.au/shop/productdetails/405658
Avocado,256845,Hass Avocado Imported,,,,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/256845.jpg,https://www.woolworths.com.au/shop/productdetails/256845
